time (s),velocity (rpm)
0.0000000000,0.0286102295
0.0010000000,-0.0143051147
0.0020000000,-0.0286102295
0.0030000000,0.0286102295
0.0040000000,-0.0143051147
0.0050000000,-0.0071525574
0.0060000000,0.0357627869
0.0070000000,-0.0429153442
0.0080000000,0.0214576721
0.0090000000,0.0071525574
0.0100000000,0.0071525574
0.0110000000,-0.0071525574
0.0120000000,-0.0143051147
0.0130000000,0.0214576721
0.0140000000,0.0071525574
0.0150000000,0.0214576721
0.0160000000,-0.0143051147
0.0170000000,0.0000000000
0.0180000000,0.0429153442
0.0190000000,0.0143051147
0.0200000000,0.0000000000
0.0210000000,0.0000000000
0.0220000000,0.0429153442
0.0230000000,0.0357627869
0.0240000000,-0.0071525574
0.0250000000,0.0715255737
0.0260000000,0.0143051147
0.0270000000,0.0071525574
0.0280000000,0.0357627869
0.0290000000,0.0429153442
0.0300000000,0.0214576721
0.0310000000,0.0643730164
0.0320000000,0.0500679016
0.0330000000,0.0429153442
0.0340000000,0.0214576721
0.0350000000,0.0572204590
0.0360000000,0.0643730164
0.0370000000,0.0500679016
0.0380000000,0.0500679016
0.0390000000,0.0500679016
0.0400000000,0.0715255737
0.0410000000,0.0572204590
0.0420000000,0.0286102295
0.0430000000,0.0786781311
0.0440000000,0.0715255737
0.0450000000,0.0643730164
0.0460000000,0.0786781311
0.0470000000,0.1001358032
0.0480000000,0.0786781311
0.0490000000,0.0929832458
0.0500000000,0.0929832458
0.0510000000,0.0929832458
0.0520000000,0.1215934753
0.0530000000,0.1072883606
0.0540000000,0.1001358032
0.0550000000,0.1358985901
0.0560000000,0.1430511475
0.0570000000,0.1215934753
0.0580000000,0.1430511475
0.0590000000,0.1716613770
0.0600000000,0.1788139343
0.0610000000,0.1716613770
0.0620000000,0.1645088196
0.0630000000,0.2217292786
0.0640000000,0.1788139343
0.0650000000,0.2002716064
0.0660000000,0.2074241638
0.0670000000,0.2503395081
0.0680000000,0.2217292786
0.0690000000,0.2717971802
0.0700000000,0.2574920654
0.0710000000,0.2789497375
0.0720000000,0.3147125244
0.0730000000,0.2932548523
0.0740000000,0.3433227539
0.0750000000,0.3218650818
0.0760000000,0.4148483276
0.0770000000,0.3576278687
0.0780000000,0.4220008850
0.0790000000,0.4577636719
0.0800000000,0.4792213440
0.0810000000,0.5006790161
0.0820000000,0.5578994751
0.0830000000,0.6294250488
0.0840000000,0.6008148193
0.0850000000,0.7152557373
0.0860000000,0.7581710815
0.0870000000,0.8153915405
0.0880000000,0.8654594421
0.0890000000,0.9298324585
0.0900000000,0.8797645569
0.0910000000,0.9655952454
0.0920000000,0.9369850159
0.0930000000,0.9799003601
0.0940000000,1.0442733765
0.0950000000,1.0585784912
0.0960000000,1.0871887207
0.0970000000,1.1372566223
0.0980000000,1.1372566223
0.0990000000,1.1801719666
0.1000000000,1.2588500977
0.1010000000,1.2588500977
0.1020000000,1.2803077698
0.1030000000,1.3303756714
0.1040000000,1.3589859009
0.1050000000,1.4019012451
0.1060000000,1.4662742615
0.1070000000,1.5091896057
0.1080000000,1.5521049500
0.1090000000,1.5878677368
0.1100000000,1.5807151794
0.1110000000,1.6808509827
0.1120000000,1.7237663269
0.1130000000,1.8167495728
0.1140000000,1.7809867859
0.1150000000,1.8668174744
0.1160000000,1.9025802612
0.1170000000,1.9669532776
0.1180000000,2.0456314087
0.1190000000,2.0170211792
0.1200000000,2.0885467529
0.1210000000,2.1171569824
0.1220000000,2.1171569824
0.1230000000,2.2387504578
0.1240000000,2.2459030151
0.1250000000,2.2959709167
0.1260000000,2.3889541626
0.1270000000,2.5033950806
0.1280000000,2.5892257690
0.1290000000,2.6750564575
0.1300000000,2.7108192444
0.1310000000,2.7894973755
0.1320000000,2.8109550476
0.1330000000,2.8467178345
0.1340000000,2.9683113098
0.1350000000,3.0684471130
0.1360000000,3.1042098999
0.1370000000,3.2973289490
0.1380000000,3.3617019653
0.1390000000,3.4546852112
0.1400000000,3.5333633423
0.1410000000,3.5834312439
0.1420000000,3.6406517029
0.1430000000,3.6764144897
0.1440000000,3.6120414734
0.1450000000,3.7980079651
0.1460000000,3.8838386536
0.1470000000,3.9982795715
0.1480000000,3.9911270142
0.1490000000,3.9982795715
0.1500000000,4.0698051453
0.1510000000,4.1770935059
0.1520000000,4.3416023254
0.1530000000,4.4703483582
0.1540000000,4.5418739319
0.1550000000,4.5990943909
0.1560000000,4.4703483582
0.1570000000,4.4059753418
0.1580000000,4.3129920959
0.1590000000,4.4918060303
0.1600000000,4.6062469482
0.1610000000,4.7206878662
0.1620000000,4.6777725220
0.1630000000,4.6992301941
0.1640000000,4.7993659973
0.1650000000,4.9710273743
0.1660000000,5.0354003906
0.1670000000,5.1569938660
0.1680000000,5.0425529480
0.1690000000,5.0854682922
0.1700000000,4.9710273743
0.1710000000,5.1569938660
0.1720000000,5.3071975708
0.1730000000,5.3930282593
0.1740000000,5.3501129150
0.1750000000,5.3787231445
0.1760000000,5.4788589478
0.1770000000,5.7721138000
0.1780000000,5.8794021606
0.1790000000,5.7721138000
0.1800000000,5.6076049805
0.1810000000,5.5146217346
0.1820000000,5.7220458984
0.1830000000,5.9151649475
0.1840000000,5.8221817017
0.1850000000,5.7792663574
0.1860000000,5.8650970459
0.1870000000,6.1154365540
0.1880000000,6.2441825867
0.1890000000,6.2799453735
0.1900000000,6.2155723572
0.1910000000,6.1297416687
0.1920000000,6.3729286194
0.1930000000,6.5803527832
0.1940000000,6.5517425537
0.1950000000,6.4730644226
0.1960000000,6.8306922913
0.1970000000,7.0524215698
0.1980000000,7.0166587830
0.1990000000,6.8664550781
0.2000000000,6.9093704224
0.2010000000,7.2240829468
0.2020000000,7.2097778320
0.2030000000,6.9952011108
0.2040000000,7.1024894714
0.2050000000,7.3313713074
0.2060000000,7.5960159302
0.2070000000,7.5674057007
0.2080000000,7.4100494385
0.2090000000,7.7247619629
0.2100000000,7.7819824219
0.2110000000,7.7891349792
0.2120000000,8.1539154053
0.2130000000,8.4543228149
0.2140000000,8.2468986511
0.2150000000,7.9178810120
0.2160000000,8.1753730774
0.2170000000,8.2755088806
0.2180000000,8.1753730774
0.2190000000,8.3184242249
0.2200000000,8.6688995361
0.2210000000,8.7475776672
0.2220000000,8.4543228149
0.2230000000,8.7118148804
0.2240000000,8.7761878967
0.2250000000,8.8262557983
0.2260000000,9.5272064209
0.2270000000,9.8490715027
0.2280000000,9.1981887817
0.2290000000,8.9406967163
0.2300000000,9.1910362244
0.2310000000,9.1266632080
0.2320000000,9.6273422241
0.2330000000,10.0135803223
0.2340000000,9.7703933716
0.2350000000,9.5486640930
0.2360000000,9.9706649780
0.2370000000,10.0135803223
0.2380000000,10.3783607483
0.2390000000,10.9291076660
0.2400000000,10.4141235352
0.2410000000,10.3068351746
0.2420000000,10.4784965515
0.2430000000,10.2925300598
0.2440000000,10.8218193054
0.2450000000,11.0220909119
0.2460000000,10.6573104858
0.2470000000,11.0363960266
0.2480000000,11.0936164856
0.2490000000,11.2509727478
0.2500000000,11.7158889771
0.2510000000,11.3511085510
0.2520000000,11.5871429443
0.2530000000,11.3368034363
0.2540000000,11.2509727478
0.2550000000,11.7659568787
0.2560000000,11.7230415344
0.2570000000,11.8517875671
0.2580000000,11.8589401245
0.2590000000,12.2952461243
0.2600000000,12.9103660583
0.2610000000,12.2523307800
0.2620000000,12.3310089111
0.2630000000,12.0091438293
0.2640000000,12.4597549438
0.2650000000,12.9103660583
0.2660000000,12.5026702881
0.2670000000,12.6028060913
0.2680000000,12.8030776978
0.2690000000,13.9760971069
0.2700000000,13.2751464844
0.2710000000,12.8102302551
0.2720000000,12.6886367798
0.2730000000,13.3895874023
0.2740000000,13.7615203857
0.2750000000,13.2107734680
0.2760000000,13.4396553040
0.2770000000,13.6899948120
0.2780000000,14.6269798279
0.2790000000,13.8831138611
0.2800000000,13.7400627136
0.2810000000,13.4754180908
0.2820000000,14.2192840576
0.2830000000,14.0976905823
0.2840000000,14.2335891724
0.2850000000,14.1978263855
0.2860000000,14.9846076965
0.2870000000,14.7771835327
0.2880000000,14.8916244507
0.2890000000,14.2049789429
0.2900000000,14.7199630737
0.2910000000,14.9703025818
0.2920000000,15.0275230408
0.2930000000,15.0704383850
0.2940000000,16.1075592041
0.2950000000,15.4781341553
0.2960000000,15.2349472046
0.2970000000,15.0060653687
0.2980000000,15.7570838928
0.2990000000,15.5568122864
0.3000000000,15.5067443848
0.3010000000,16.3936614990
0.3020000000,16.9157981873
0.3030000000,15.7570838928
0.3040000000,15.3923034668
0.3050000000,16.5081024170
0.3060000000,16.3364410400
0.3070000000,16.4508819580
0.3080000000,16.5653228760
0.3090000000,17.5380706787
0.3100000000,16.7083740234
0.3110000000,16.2076950073
0.3120000000,16.9157981873
0.3130000000,16.9730186462
0.3140000000,17.1875953674
0.3150000000,17.3163414001
0.3160000000,17.9314613342
0.3170000000,17.6954269409
0.3180000000,17.0373916626
0.3190000000,17.5666809082
0.3200000000,17.6525115967
0.3210000000,17.7884101868
0.3220000000,18.8541412354
0.3230000000,18.4249877930
0.3240000000,18.0315971375
0.3250000000,18.1102752686
0.3260000000,18.5465812683
0.3270000000,18.3820724487
0.3280000000,19.0186500549
0.3290000000,19.8125839233
0.3300000000,18.4750556946
0.3310000000,18.5465812683
0.3320000000,19.1974639893
0.3330000000,18.8827514648
0.3340000000,19.1617012024
0.3350000000,20.2417373657
0.3360000000,19.3977355957
0.3370000000,18.8899040222
0.3380000000,19.7625160217
0.3390000000,19.5550918579
0.3400000000,19.5336341858
0.3410000000,20.4706192017
0.3420000000,20.3490257263
0.3430000000,19.4406509399
0.3440000000,20.0200080872
0.3450000000,20.0772285461
0.3460000000,20.3561782837
0.3470000000,21.1071968079
0.3480000000,20.5349922180
0.3490000000,20.2345848083
0.3500000000,20.4491615295
0.3510000000,20.5063819885
0.3520000000,21.8868255615
0.3530000000,21.2502479553
0.3540000000,20.5492973328
0.3550000000,21.4362144470
0.3560000000,21.0571289063
0.3570000000,21.0857391357
