time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0005654867
0.0020000000,0.0022619467
0.0030000000,0.0050893801
0.0040000000,0.0090477867
0.0050000000,0.0141371664
0.0060000000,0.0203575188
0.0070000000,0.0277088433
0.0080000000,0.0361911386
0.0090000000,0.0458044031
0.0100000000,0.0565486343
0.0110000000,0.0684238287
0.0120000000,0.0814299816
0.0130000000,0.0955670869
0.0140000000,0.1108351367
0.0150000000,0.1272341210
0.0160000000,0.1447640277
0.0170000000,0.1634248416
0.0180000000,0.1832165446
0.0190000000,0.2041391152
0.0200000000,0.2261925279
0.0210000000,0.2493767528
0.0220000000,0.2736917553
0.0230000000,0.2991374953
0.0240000000,0.3257139269
0.0250000000,0.3534209981
0.0260000000,0.3822586496
0.0270000000,0.4122268147
0.0280000000,0.4433254185
0.0290000000,0.4755543774
0.0300000000,0.5089135984
0.0310000000,0.5434029781
0.0320000000,0.5790224024
0.0330000000,0.6157717458
0.0340000000,0.6536508701
0.0350000000,0.6926596242
0.0360000000,0.7327978430
0.0370000000,0.7740653466
0.0380000000,0.8164619397
0.0390000000,0.8599874101
0.0400000000,0.9046415286
0.0410000000,0.9504240474
0.0420000000,0.9973346995
0.0430000000,1.0453731977
0.0440000000,1.0945392335
0.0450000000,1.1448324761
0.0460000000,1.1962525714
0.0470000000,1.2487991410
0.0480000000,1.3024717808
0.0490000000,1.3572700604
0.0500000000,1.4131935213
0.0510000000,1.4702416764
0.0520000000,1.5284140083
0.0530000000,1.5877099685
0.0540000000,1.6481289757
0.0550000000,1.7096704151
0.0560000000,1.7723336365
0.0570000000,1.8361179535
0.0580000000,1.9010226420
0.0590000000,1.9670469387
0.0600000000,2.0341900400
0.0610000000,2.1024511005
0.0620000000,2.1718292312
0.0630000000,2.2423234987
0.0640000000,2.3139329235
0.0650000000,2.3866564781
0.0660000000,2.4604930861
0.0670000000,2.5354416203
0.0680000000,2.6115009013
0.0690000000,2.6886696956
0.0700000000,2.7669467145
0.0710000000,2.8463306123
0.0720000000,2.9268199842
0.0730000000,3.0084133655
0.0740000000,3.0911092289
0.0750000000,3.1749059838
0.0760000000,3.2598019737
0.0770000000,3.3457954750
0.0780000000,3.4328846950
0.0790000000,3.5210677702
0.0800000000,3.6103427643
0.0810000000,3.7007076666
0.0820000000,3.7921603900
0.0830000000,3.8846987692
0.0840000000,3.9783205585
0.0850000000,4.0730234305
0.0860000000,4.1688049735
0.0870000000,4.2656626900
0.0880000000,4.3635939944
0.0890000000,4.4625962113
0.0900000000,4.5626665732
0.0910000000,4.6638022186
0.0920000000,4.7660001900
0.0930000000,4.8692574318
0.0940000000,4.9735707881
0.0950000000,5.0789370007
0.0960000000,5.1853527069
0.0970000000,5.2928144374
0.0980000000,5.4013186142
0.0990000000,5.5108615483
0.1000000000,5.6214394376
0.1010000000,5.7330483646
0.1020000000,5.8456842943
0.1030000000,5.9593430718
0.1040000000,6.0740204203
0.1050000000,6.1897119385
0.1060000000,6.3064130985
