time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0007853982
0.0020000000,0.0031415927
0.0030000000,0.0070685834
0.0040000000,0.0125663705
0.0050000000,0.0196349536
0.0060000000,0.0282743324
0.0070000000,0.0384845062
0.0080000000,0.0502654740
0.0090000000,0.0636172341
0.0100000000,0.0785397840
0.0110000000,0.0950331206
0.0120000000,0.1130972391
0.0130000000,0.1327321337
0.0140000000,0.1539377968
0.0150000000,0.1767142189
0.0160000000,0.2010613880
0.0170000000,0.2269792896
0.0180000000,0.2544679064
0.0190000000,0.2835272175
0.0200000000,0.3141571983
0.0210000000,0.3463578200
0.0220000000,0.3801290491
0.0230000000,0.4154708472
0.0240000000,0.4523831699
0.0250000000,0.4908659669
0.0260000000,0.5309191811
0.0270000000,0.5725427482
0.0280000000,0.6157365960
0.0290000000,0.6605006439
0.0300000000,0.7068348019
0.0310000000,0.7547389706
0.0320000000,0.8042130398
0.0330000000,0.8552568885
0.0340000000,0.9078703833
0.0350000000,0.9620533786
0.0360000000,1.0178057151
0.0370000000,1.0751272192
0.0380000000,1.1340177026
0.0390000000,1.1944769607
0.0400000000,1.2565047722
0.0410000000,1.3201008982
0.0420000000,1.3852650812
0.0430000000,1.4519970441
0.0440000000,1.5202964893
0.0450000000,1.5901630977
0.0460000000,1.6615965279
0.0470000000,1.7345964146
0.0480000000,1.8091623682
0.0490000000,1.8852939734
0.0500000000,1.9629907880
0.0510000000,2.0422523419
0.0520000000,2.1230781362
0.0530000000,2.2054676416
0.0540000000,2.2894202973
0.0550000000,2.3749355102
0.0560000000,2.4620126530
0.0570000000,2.5506510634
0.0580000000,2.6408500429
0.0590000000,2.7326088549
0.0600000000,2.8259267241
0.0610000000,2.9208028346
0.0620000000,3.0172363289
0.0630000000,3.1152263061
0.0640000000,3.2147718209
0.0650000000,3.3158718820
0.0660000000,3.4185254504
0.0670000000,3.5227314384
0.0680000000,3.6284887076
0.0690000000,3.7357960676
0.0700000000,3.8446522745
0.0710000000,3.9550560294
0.0720000000,4.0670059763
0.0730000000,4.1805007011
0.0740000000,4.2955387296
0.0750000000,4.4121185260
0.0760000000,4.5302384912
0.0770000000,4.6498969609
0.0780000000,4.7710922040
0.0790000000,4.8938224212
0.0800000000,5.0180857426
0.0810000000,5.1438802262
0.0820000000,5.2712038563
0.0830000000,5.4000545413
0.0840000000,5.5304301123
0.0850000000,5.6623283205
0.0860000000,5.7957468363
0.0870000000,5.9306832463
0.0880000000,6.0671350523
0.0890000000,6.2050996689
0.0900000000,6.3445744214
0.0910000000,6.4855565442
0.0920000000,6.6280431784
0.0930000000,6.7720313702
0.0940000000,6.9175180682
0.0950000000,7.0645001222
0.0960000000,7.2129742803
0.0970000000,7.3629371873
0.0980000000,7.5143853823
0.0990000000,7.6673152967
0.1000000000,7.8217232520
0.1010000000,7.9776054577
0.1020000000,8.1349580090
0.1030000000,8.2937768845
0.1040000000,8.4540579442
0.1050000000,8.6157969270
0.1060000000,8.7789894488
0.1070000000,8.9436309998
0.1080000000,9.1097169424
0.1090000000,9.2772425089
0.1100000000,9.4462027992
0.1110000000,9.6165927784
0.1120000000,9.7884072744
0.1130000000,9.9616409757
0.1140000000,10.1362884286
0.1150000000,10.3123440355
0.1160000000,10.4898020516
0.1170000000,10.6686565835
0.1180000000,10.8489015857
0.1190000000,11.0305308590
0.1200000000,11.2135380475
0.1210000000,11.3979166363
0.1220000000,11.5836599493
0.1230000000,11.7707611461
