time (s),Amplitude - Plot 0
0.307,21.5936
0.308,21.2717
0.309,21.1287
0.31,21.7509
0.311,20.299
0.312,19.2618
0.313,19.6552
0.314,19.1832
0.315,18.9257
0.316,19.6409
0.317,18.4035
0.318,17.252
0.319,17.3163
0.32,16.8657
0.321,16.6082
0.322,16.5009
0.323,16.7727
0.324,15.6212
0.325,14.8559
0.326,14.6413
0.327,14.4625
0.328,13.7258
0.329,13.5326
0.33,13.3109
0.331,13.3109
0.332,12.145
0.333,11.7302
0.334,10.8719
0.335,10.8933
0.336,10.6359
0.337,9.84907
0.338,9.44853
0.339,9.0909
0.34,8.47578
0.341,8.13961
0.342,7.87497
0.343,7.15256
0.344,6.27995
0.345,5.73635
0.346,5.33581
0.347,4.87804
0.348,4.23431
0.349,3.70502
0.35,3.25441
0.351,2.76804
0.352,2.33173
0.353,1.84536
0.354,1.266
0.355,0.758171
0.356,0.271797
0.357,-0.157356
0.358,-0.293255
0.359,-0.493526
0.36,-0.572205
0.361,-0.751019
0.362,-0.836849
0.363,-1.02282
0.364,-1.20878
0.365,-1.4019
0.366,-1.60933
0.367,-2.13146
0.368,-2.71797
0.369,-3.55482
0.37,-4.49181
0.371,-5.40018
0.372,-6.11544
0.373,-6.81639
0.374,-7.91073
0.375,-8.6832
0.376,-8.99076
0.377,-9.31263
0.378,-10.2782
0.379,-10.829
0.38,-11.7159
0.381,-12.2952
0.382,-12.5885
0.383,-13.7758
0.384,-14.4339
0.385,-15.4281
0.386,-14.956
0.387,-15.6569
0.388,-16.3579
0.389,-17.1089
0.39,-17.302
0.391,-18.4178
0.392,-19.3405
0.393,-18.5466
0.394,-19.1689
0.395,-20.256
0.396,-20.4706
0.397,-21.4434
0.398,-22.0942
0.399,-21.2073
0.4,-21.7652
0.401,-22.3589
0.402,-23.2744
0.403,-24.3831
0.404,-23.4675
0.405,-23.5963
0.406,-23.7393
0.407,-24.9767
0.408,-25.9995
0.409,-25.034
0.41,-25.6634
0.411,-25.5561
0.412,-26.9437
0.413,-26.1855
0.414,-26.4144
0.415,-26.9794
0.416,-27.6017
0.417,-28.0881
0.418,-26.9437
0.419,-27.7448
0.42,-28.2812
0.421,-29.3827
0.422,-28.0809
0.423,-28.3742
0.424,-28.5745
0.425,-30.0622
0.426,-28.9035
0.427,-29.3612
0.428,-29.3398
0.429,-30.4341
0.43,-29.0751
0.431,-29.7976
0.432,-30.0908
0.433,-30.9134
0.434,-29.2611
0.435,-29.6545
0.436,-30.1337
0.437,-31.3497
0.438,-29.583
0.439,-29.4685
0.44,-30.1623
0.441,-30.7775
0.442,-29.5401
0.443,-29.4256
0.444,-29.8262
0.445,-29.9406
0.446,-28.8391
0.447,-29.0537
0.448,-29.3398
0.449,-29.3899
0.45,-27.8306
0.451,-28.0309
0.452,-28.5459
0.453,-28.8105
0.454,-26.9651
0.455,-27.1297
0.456,-27.2155
0.457,-27.6947
