time (s),velocity (rpm)
0.0000000000,-0.2002716064
0.0010000000,0.1072883606
0.0020000000,0.1430511475
0.0030000000,-0.1645088196
0.0040000000,-0.0572204590
0.0050000000,0.1502037048
0.0060000000,-0.0143051147
0.0070000000,-0.1788139343
0.0080000000,0.1502037048
0.0090000000,0.0786781311
0.0100000000,-0.1573562622
0.0110000000,0.0000000000
0.0120000000,0.1645088196
0.0130000000,-0.0715255737
0.0140000000,-0.1215934753
0.0150000000,0.1573562622
0.0160000000,0.0286102295
0.0170000000,-0.1358985901
0.0180000000,0.0858306885
0.0190000000,0.0858306885
0.0200000000,-0.1215934753
0.0210000000,0.0071525574
0.0220000000,0.1072883606
0.0230000000,-0.0643730164
0.0240000000,-0.0429153442
0.0250000000,0.0715255737
0.0260000000,0.0214576721
0.0270000000,-0.0286102295
0.0280000000,0.0143051147
0.0290000000,0.0572204590
0.0300000000,-0.0286102295
0.0310000000,-0.0143051147
0.0320000000,0.0715255737
0.0330000000,-0.0071525574
0.0340000000,-0.0357627869
0.0350000000,0.0572204590
0.0360000000,0.0715255737
0.0370000000,0.0143051147
0.0380000000,0.0357627869
0.0390000000,0.0429153442
0.0400000000,0.0715255737
0.0410000000,0.1716613770
0.0420000000,0.1788139343
0.0430000000,0.1358985901
0.0440000000,0.1716613770
0.0450000000,0.1215934753
0.0460000000,0.1502037048
0.0470000000,0.1287460327
0.0480000000,0.1716613770
0.0490000000,0.1716613770
0.0500000000,0.2074241638
0.0510000000,0.2360343933
0.0520000000,0.2145767212
0.0530000000,0.2574920654
0.0540000000,0.3004074097
0.0550000000,0.2861022949
0.0560000000,0.3862380981
0.0570000000,0.3433227539
0.0580000000,0.3719329834
0.0590000000,0.4148483276
0.0600000000,0.4506111145
0.0610000000,0.4577636719
0.0620000000,0.5793571472
0.0630000000,0.5793571472
0.0640000000,0.6437301636
0.0650000000,0.7009506226
0.0660000000,0.7724761963
0.0670000000,0.8082389832
0.0680000000,0.9512901306
0.0690000000,0.9012222290
0.0700000000,1.0299682617
0.0710000000,1.1801719666
0.0720000000,1.2874603271
0.0730000000,1.4591217041
0.0740000000,1.5592575073
0.0750000000,1.7523765564
0.0760000000,1.8668174744
0.0770000000,1.9383430481
0.0780000000,2.1100044250
0.0790000000,2.2244453430
0.0800000000,2.2745132446
0.0810000000,2.3674964905
0.0820000000,2.4461746216
0.0830000000,2.5749206543
0.0840000000,2.5534629822
0.0850000000,2.6750564575
0.0860000000,2.8467178345
0.0870000000,2.8967857361
0.0880000000,3.0541419983
0.0890000000,3.1256675720
0.0900000000,3.2258033752
0.0910000000,3.2472610474
0.0920000000,3.3402442932
0.0930000000,3.4189224243
0.0940000000,3.4546852112
0.0950000000,3.7407875061
0.0960000000,3.8194656372
0.0970000000,3.9482116699
0.0980000000,4.0197372437
0.0990000000,4.0555000305
0.1000000000,4.0268898010
0.1010000000,4.0555000305
0.1020000000,4.1842460632
0.1030000000,4.3988227844
0.1040000000,4.5561790466
0.1050000000,4.6205520630
0.1060000000,4.5204162598
0.1070000000,4.6849250793
0.1080000000,4.7850608826
0.1090000000,5.0210952759
0.1100000000,5.1784515381
0.1110000000,5.2928924561
0.1120000000,5.4001808167
0.1130000000,5.4144859314
0.1140000000,5.4073333740
0.1150000000,5.6576728821
0.1160000000,5.8507919312
0.1170000000,5.8507919312
0.1180000000,5.9151649475
0.1190000000,6.0725212097
0.1200000000,6.3872337341
0.1210000000,6.6661834717
0.1220000000,6.4802169800
