time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,-0.0071525574
0.0020000000,0.0429153442
0.0030000000,-0.0286102295
0.0040000000,-0.0071525574
0.0050000000,-0.0071525574
0.0060000000,0.0143051147
0.0070000000,0.0286102295
0.0080000000,0.0357627869
0.0090000000,-0.0071525574
0.0100000000,0.0071525574
0.0110000000,-0.0143051147
0.0120000000,0.0000000000
0.0130000000,0.0357627869
0.0140000000,0.0500679016
0.0150000000,0.0214576721
0.0160000000,0.0286102295
0.0170000000,0.0214576721
0.0180000000,0.0643730164
0.0190000000,0.0786781311
0.0200000000,0.0643730164
0.0210000000,0.1001358032
0.0220000000,0.0715255737
0.0230000000,0.1215934753
0.0240000000,0.0572204590
0.0250000000,0.0858306885
0.0260000000,0.1001358032
0.0270000000,0.1716613770
0.0280000000,0.1430511475
0.0290000000,0.1716613770
0.0300000000,0.1573562622
0.0310000000,0.1859664917
0.0320000000,0.1859664917
0.0330000000,0.1931190491
0.0340000000,0.1931190491
0.0350000000,0.2074241638
0.0360000000,0.2288818359
0.0370000000,0.2431869507
0.0380000000,0.3147125244
0.0390000000,0.3433227539
0.0400000000,0.3218650818
0.0410000000,0.3647804260
0.0420000000,0.3504753113
0.0430000000,0.4363059998
0.0440000000,0.3862380981
0.0450000000,0.4577636719
0.0460000000,0.4506111145
0.0470000000,0.6008148193
0.0480000000,0.5292892456
0.0490000000,0.6365776062
0.0500000000,0.6580352783
0.0510000000,0.7081031799
0.0520000000,0.7867813110
0.0530000000,0.8440017700
0.0540000000,0.9512901306
0.0550000000,0.9727478027
0.0560000000,1.1086463928
0.0570000000,1.1873245239
0.0580000000,1.3804435730
0.0590000000,1.4877319336
0.0600000000,1.5521049500
0.0610000000,1.7094612122
0.0620000000,1.7952919006
0.0630000000,1.9168853760
0.0640000000,2.0313262939
0.0650000000,2.0956993103
0.0660000000,2.2459030151
0.0670000000,2.2602081299
0.0680000000,2.5105476379
0.0690000000,2.6321411133
0.0700000000,2.7537345886
0.0710000000,2.9468536377
0.0720000000,3.1042098999
0.0730000000,3.1542778015
0.0740000000,3.2758712769
0.0750000000,3.4189224243
0.0760000000,3.5619735718
0.0770000000,3.6907196045
0.0780000000,3.9839744568
0.0790000000,4.1198730469
0.0800000000,4.3845176697
0.0810000000,4.3916702271
0.0820000000,4.3988227844
0.0830000000,4.5633316040
0.0840000000,4.5990943909
0.0850000000,4.8851966858
0.0860000000,5.0926208496
0.0870000000,5.2070617676
0.0880000000,5.1712989807
0.0890000000,5.3715705872
0.0900000000,5.6576728821
0.0910000000,5.8722496033
0.0920000000,6.0868263245
0.0930000000,6.1297416687
0.0940000000,6.0725212097
0.0950000000,6.2084197998
0.0960000000,6.5445899963
0.0970000000,6.5803527832
0.0980000000,6.5660476685
0.0990000000,6.7448616028
0.1000000000,7.0810317993
0.1010000000,7.3170661926
0.1020000000,7.1167945862
0.1030000000,6.9379806519
0.1040000000,7.2169303894
0.1050000000,7.4601173401
0.1060000000,7.3885917664
0.1070000000,7.6103210449
0.1080000000,8.0895423889
0.1090000000,8.3899497986
0.1100000000,8.4614753723
