time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0013194689
0.0020000000,0.0052778757
0.0030000000,0.0118752202
0.0040000000,0.0211115023
0.0050000000,0.0329867216
0.0060000000,0.0475008773
0.0070000000,0.0646539676
0.0080000000,0.0844459900
0.0090000000,0.1068769406
0.0100000000,0.1319468133
0.0110000000,0.1596556002
0.0120000000,0.1900032904
0.0130000000,0.2229898694
0.0140000000,0.2586153189
0.0150000000,0.2968796157
0.0160000000,0.3377827312
0.0170000000,0.3813246303
0.0180000000,0.4275052707
0.0190000000,0.4763246022
0.0200000000,0.5277825651
0.0210000000,0.5818790899
0.0220000000,0.6386140956
0.0230000000,0.6979874889
0.0240000000,0.7599991629
0.0250000000,0.8246489956
0.0260000000,0.8919368490
0.0270000000,0.9618625675
0.0280000000,1.0344259765
0.0290000000,1.1096268807
0.0300000000,1.1874650629
0.0310000000,1.2679402822
0.0320000000,1.3510522723
0.0330000000,1.4368007401
0.0340000000,1.5251853635
0.0350000000,1.6162057897
0.0360000000,1.7098616336
0.0370000000,1.8061524755
0.0380000000,1.9050778593
0.0390000000,2.0066372903
0.0400000000,2.1108302335
0.0410000000,2.2176561106
0.0420000000,2.3271142989
0.0430000000,2.4392041281
0.0440000000,2.5539248782
0.0450000000,2.6712757776
0.0460000000,2.7912560000
0.0470000000,2.9138646624
0.0480000000,3.0391008220
0.0490000000,3.1669634742
0.0500000000,3.2974515497
0.0510000000,3.4305639115
0.0520000000,3.5662993527
0.0530000000,3.7046565931
0.0540000000,3.8456342767
0.0550000000,3.9892309685
0.0560000000,4.1354451517
0.0570000000,4.2842752248
0.0580000000,4.4357194979
0.0590000000,4.5897761903
0.0600000000,4.7464434268
0.0610000000,4.9057192344
0.0620000000,5.0676015394
0.0630000000,5.2320881637
0.0640000000,5.3991768215
0.0650000000,5.5688651156
0.0660000000,5.7411505343
0.0670000000,5.9160304475
0.0680000000,6.0935021029
0.0690000000,6.2735626230
0.0700000000,6.4562090006
0.0710000000,6.6414380953
0.0720000000,6.8292466299
0.0730000000,7.0196311861
0.0740000000,7.2125882008
0.0750000000,7.4081139622
0.0760000000,7.6062046053
0.0770000000,7.8068561083
0.0780000000,8.0100642883
0.0790000000,8.2158247971
0.0800000000,8.4241331167
0.0810000000,8.6349845554
0.0820000000,8.8483742434
0.0830000000,9.0642971280
0.0840000000,9.2827479699
0.0850000000,9.5037213379
0.0860000000,9.7272116049
0.0870000000,9.9532129434
0.0880000000,10.1817193204
0.0890000000,10.4127244930
0.0900000000,10.6462220040
0.0910000000,10.8822051767
0.0920000000,11.1206671100
0.0930000000,11.3616006742
0.0940000000,11.6049985055
0.0950000000,11.8508530016
0.0960000000,12.0991563160
0.0970000000,12.3499003539
0.0980000000,12.6030767664
0.0990000000,12.8586769460
0.1000000000,13.1166920210
0.1010000000,13.3771128507
0.1020000000,13.6399300200
0.1030000000,13.9051338342
0.1040000000,14.1727143140
0.1050000000,14.4426611898
0.1060000000,14.7149638965
0.1070000000,14.9896115684
0.1080000000,15.2665930336
0.1090000000,15.5458968084
0.1100000000,15.8275110922
0.1110000000,16.1114237618
0.1120000000,16.3976223660
0.1130000000,16.6860941200
0.1140000000,16.9768258999
0.1150000000,17.2698042370
0.1160000000,17.5650153123
0.1170000000,17.8624449511
0.1180000000,18.1620786167
0.1190000000,18.4639014055
0.1200000000,18.7678980409
0.1210000000,19.0740528674
0.1220000000,19.3823498456
0.1230000000,19.6927725456
0.1240000000,20.0053041421
0.1250000000,20.3199274078
0.1260000000,20.6366247085
0.1270000000,20.9553779966
0.1280000000,21.2761688058
0.1290000000,21.5989782452
0.1300000000,21.9237869932
0.1310000000,22.2505752924
0.1320000000,22.5793229430
0.1330000000,22.9100092976
0.1340000000,23.2426132553
0.1350000000,23.5771132559
0.1360000000,23.9134872738
0.1370000000,24.2517128129
0.1380000000,24.5917669002
0.1390000000,24.9336260806
0.1400000000,25.2772664108
0.1410000000,25.6226634536
