time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0003769911
0.0020000000,0.0015079645
0.0030000000,0.0033929201
0.0040000000,0.0060318579
0.0050000000,0.0094247778
0.0060000000,0.0135716798
0.0070000000,0.0184725636
0.0080000000,0.0241274290
0.0090000000,0.0305362753
0.0100000000,0.0376991019
0.0110000000,0.0456159078
0.0120000000,0.0542866914
0.0130000000,0.0637114511
0.0140000000,0.0738901845
0.0150000000,0.0848228886
0.0160000000,0.0965095599
0.0170000000,0.1089501937
0.0180000000,0.1221447849
0.0190000000,0.1360933270
0.0200000000,0.1507958124
0.0210000000,0.1662522323
0.0220000000,0.1824625764
0.0230000000,0.1994268328
0.0240000000,0.2171449881
0.0250000000,0.2356170267
0.0260000000,0.2548429310
0.0270000000,0.2748226814
0.0280000000,0.2955562556
0.0290000000,0.3170436288
0.0300000000,0.3392847735
0.0310000000,0.3622796591
0.0320000000,0.3860282517
0.0330000000,0.4105305141
0.0340000000,0.4357864055
0.0350000000,0.4617958810
0.0360000000,0.4885588917
0.0370000000,0.5160753843
0.0380000000,0.5443453010
0.0390000000,0.5733685788
0.0400000000,0.6031451498
0.0410000000,0.6336749406
0.0420000000,0.6649578720
0.0430000000,0.6969938591
0.0440000000,0.7297828102
0.0450000000,0.7633246275
0.0460000000,0.7976192059
0.0470000000,0.8326664333
0.0480000000,0.8684661899
0.0490000000,0.9050183482
0.0500000000,0.9423227723
0.0510000000,0.9803793178
0.0520000000,1.0191878314
0.0530000000,1.0587481504
0.0540000000,1.0990601025
0.0550000000,1.1401235055
0.0560000000,1.1819381667
0.0570000000,1.2245038825
0.0580000000,1.2678204383
0.0590000000,1.3118876077
0.0600000000,1.3567051525
0.0610000000,1.4022728220
0.0620000000,1.4485903526
0.0630000000,1.4956574675
0.0640000000,1.5434738762
0.0650000000,1.5920392740
0.0660000000,1.6413533415
0.0670000000,1.6914157446
0.0680000000,1.7422261332
0.0690000000,1.7937841415
0.0700000000,1.8460893872
0.0710000000,1.8991414709
0.0720000000,1.9529399758
0.0730000000,2.0074844673
0.0740000000,2.0627744920
0.0750000000,2.1188095779
0.0760000000,2.1755892333
0.0770000000,2.2331129464
0.0780000000,2.2913801851
0.0790000000,2.3503903960
0.0800000000,2.4101430040
0.0810000000,2.4706374120
0.0820000000,2.5318730001
0.0830000000,2.5938491250
0.0840000000,2.6565651195
0.0850000000,2.7200202920
0.0860000000,2.7842139257
0.0870000000,2.8491452783
0.0880000000,2.9148135811
0.0890000000,2.9812180387
0.0900000000,3.0483578281
0.0910000000,3.1162320981
0.0920000000,3.1848399690
0.0930000000,3.2541805317
0.0940000000,3.3242528469
0.0950000000,3.3950559450
0.0960000000,3.4665888247
0.0970000000,3.5388504531
0.0980000000,3.6118397646
0.0990000000,3.6855556601
0.1000000000,3.7599970069
0.1010000000,3.8351626375
0.1020000000,3.9110513489
0.1030000000,3.9876619023
0.1040000000,4.0649930221
0.1050000000,4.1430433954
0.1060000000,4.2218116710
0.1070000000,4.3012964588
0.1080000000,4.3814963294
0.1090000000,4.4624098128
0.1100000000,4.5440353981
0.1110000000,4.6263715327
0.1120000000,4.7094166212
0.1130000000,4.7931690253
0.1140000000,4.8776270623
0.1150000000,4.9627890051
0.1160000000,5.0486530806
0.1170000000,5.1352174698
0.1180000000,5.2224803062
0.1190000000,5.3104396758
0.1200000000,5.3990936156
0.1210000000,5.4884401133
0.1220000000,5.5784771063
0.1230000000,5.6692024810
0.1240000000,5.7606140718
0.1250000000,5.8527096605
0.1260000000,5.9454869754
0.1270000000,6.0389436906
0.1280000000,6.1330774248
0.1290000000,6.2278857410
0.1300000000,6.3233661452
0.1310000000,6.4195160860
0.1320000000,6.5163329533
0.1330000000,6.6138140777
0.1340000000,6.7119567299
0.1350000000,6.8107581193
0.1360000000,6.9102153936
0.1370000000,7.0103256376
0.1380000000,7.1110858728
0.1390000000,7.2124930560
0.1400000000,7.3145440788
0.1410000000,7.4172357666
0.1420000000,7.5205648777
0.1430000000,7.6245281025
0.1440000000,7.7291220627
0.1450000000,7.8343433100
0.1460000000,7.9401883258
0.1470000000,8.0466535201
0.1480000000,8.1537352302
0.1490000000,8.2614297205
0.1500000000,8.3697331812
0.1510000000,8.4786417273
0.1520000000,8.5881513982
