time (s),velocity (rpm)
0.0000000000,0.1215934753
0.0010000000,0.0429153442
0.0020000000,-0.1144409180
0.0030000000,-0.0071525574
0.0040000000,0.1001358032
0.0050000000,0.0143051147
0.0060000000,-0.1573562622
0.0070000000,0.0643730164
0.0080000000,0.1144409180
0.0090000000,-0.0715255737
0.0100000000,-0.1001358032
0.0110000000,0.0929832458
0.0120000000,0.0929832458
0.0130000000,-0.1001358032
0.0140000000,-0.0572204590
0.0150000000,0.1215934753
0.0160000000,0.0214576721
0.0170000000,-0.1001358032
0.0180000000,0.0143051147
0.0190000000,0.0929832458
0.0200000000,-0.0143051147
0.0210000000,-0.0786781311
0.0220000000,0.0500679016
0.0230000000,0.0429153442
0.0240000000,-0.0214576721
0.0250000000,-0.0357627869
0.0260000000,0.0357627869
0.0270000000,0.0286102295
0.0280000000,0.0000000000
0.0290000000,-0.0429153442
0.0300000000,0.0143051147
0.0310000000,0.0071525574
0.0320000000,0.0071525574
0.0330000000,-0.0357627869
0.0340000000,0.0429153442
0.0350000000,0.0143051147
0.0360000000,-0.0214576721
0.0370000000,0.0071525574
0.0380000000,0.0286102295
0.0390000000,0.0071525574
0.0400000000,0.0000000000
0.0410000000,0.0286102295
0.0420000000,0.0214576721
0.0430000000,0.0429153442
0.0440000000,0.0214576721
0.0450000000,0.0643730164
0.0460000000,0.0858306885
0.0470000000,0.1001358032
0.0480000000,0.1001358032
0.0490000000,0.1144409180
0.0500000000,0.0786781311
0.0510000000,0.0715255737
0.0520000000,0.0786781311
0.0530000000,0.1001358032
0.0540000000,0.1072883606
0.0550000000,0.1001358032
0.0560000000,0.0929832458
0.0570000000,0.1215934753
0.0580000000,0.1358985901
0.0590000000,0.1215934753
0.0600000000,0.1502037048
0.0610000000,0.1215934753
0.0620000000,0.1716613770
0.0630000000,0.1859664917
0.0640000000,0.1716613770
0.0650000000,0.2217292786
0.0660000000,0.2646446228
0.0670000000,0.2360343933
0.0680000000,0.2574920654
0.0690000000,0.3004074097
0.0700000000,0.2861022949
0.0710000000,0.3004074097
0.0720000000,0.3504753113
0.0730000000,0.4076957703
0.0740000000,0.4291534424
0.0750000000,0.4220008850
0.0760000000,0.4649162292
0.0770000000,0.4935264587
0.0780000000,0.5507469177
0.0790000000,0.6008148193
0.0800000000,0.6508827209
0.0810000000,0.6437301636
0.0820000000,0.7295608521
0.0830000000,0.8225440979
0.0840000000,0.8368492126
0.0850000000,0.9369850159
0.0860000000,1.0943412781
0.0870000000,1.1086463928
0.0880000000,1.3160705566
0.0890000000,1.3589859009
0.0900000000,1.4591217041
0.0910000000,1.5020370483
0.0920000000,1.6021728516
0.0930000000,1.6093254089
0.0940000000,1.7023086548
0.0950000000,1.8167495728
0.0960000000,1.8310546875
0.0970000000,1.8811225891
0.0980000000,1.9669532776
0.0990000000,2.0170211792
0.1000000000,2.0956993103
0.1010000000,2.1100044250
0.1020000000,2.1386146545
0.1030000000,2.2602081299
0.1040000000,2.3531913757
0.1050000000,2.3603439331
0.1060000000,2.4962425232
0.1070000000,2.5177001953
0.1080000000,2.5963783264
0.1090000000,2.5248527527
0.1100000000,2.6392936707
0.1110000000,2.7251243591
0.1120000000,2.7751922607
0.1130000000,2.8824806213
0.1140000000,2.9182434082
0.1150000000,3.0684471130
0.1160000000,3.0899047852
0.1170000000,3.1542778015
0.1180000000,3.2544136047
0.1190000000,3.2258033752
0.1200000000,3.2114982605
0.1210000000,3.2043457031
0.1220000000,3.2544136047
0.1230000000,3.2472610474
0.1240000000,3.3831596375
0.1250000000,3.5047531128
0.1260000000,3.5548210144
0.1270000000,3.6764144897
0.1280000000,3.6120414734
0.1290000000,3.6549568176
0.1300000000,3.7622451782
0.1310000000,3.7479400635
0.1320000000,4.0268898010
0.1330000000,4.0984153748
0.1340000000,4.0984153748
0.1350000000,4.1985511780
0.1360000000,4.1770935059
0.1370000000,4.1842460632
0.1380000000,4.1055679321
0.1390000000,4.2271614075
0.1400000000,4.3487548828
0.1410000000,4.4989585876
0.1420000000,4.5561790466
0.1430000000,4.5418739319
0.1440000000,4.6634674072
0.1450000000,4.7707557678
0.1460000000,5.0711631775
0.1470000000,5.1498413086
0.1480000000,5.2642822266
0.1490000000,5.0497055054
0.1500000000,5.0067901611
0.1510000000,4.8995018005
0.1520000000,5.1212310791
0.1530000000,5.3358078003
0.1540000000,5.2785873413
