time (s),Amplitude - Plot 0
0.311,19.5716
0.312,19.2132
0.313,18.8489
0.314,18.4788
0.315,18.1029
0.316,17.7213
0.317,17.334
0.318,16.941
0.319,16.5425
0.32,16.1384
0.321,15.7289
0.322,15.3141
0.323,14.8939
0.324,14.4685
0.325,14.0379
0.326,13.6022
0.327,13.1616
0.328,12.716
0.329,12.2657
0.33,11.8106
0.331,11.3508
0.332,10.8865
0.333,10.4178
0.334,9.94476
0.335,9.46748
0.336,8.98609
0.337,8.5007
0.338,8.01142
0.339,7.51838
0.34,7.02169
0.341,6.52148
0.342,6.01789
0.343,5.51105
0.344,5.00108
0.345,4.48813
0.346,3.97234
0.347,3.45386
0.348,2.93282
0.349,2.40939
0.35,1.88372
0.351,1.35595
0.352,0.82626
0.353,0.294802
0.354,-0.238256
0.355,-0.772746
0.356,-1.3085
0.357,-1.84534
0.358,-2.38309
0.359,-2.92157
0.36,-3.4606
0.361,-3.99999
0.362,-4.53956
0.363,-5.07912
0.364,-5.61848
0.365,-6.15743
0.366,-6.69579
0.367,-7.23335
0.368,-7.76991
0.369,-8.30527
0.37,-8.83922
0.371,-9.37156
0.372,-9.90207
0.373,-10.4305
0.374,-10.9568
0.375,-11.4805
0.376,-12.0016
0.377,-12.5197
0.378,-13.0348
0.379,-13.5464
0.38,-14.0546
0.381,-14.5589
0.382,-15.0592
0.383,-15.5552
0.384,-16.0468
0.385,-16.5337
0.386,-17.0156
0.387,-17.4924
0.388,-17.9637
0.389,-18.4295
0.39,-18.8894
0.391,-19.3432
0.392,-19.7907
0.393,-20.2316
0.394,-20.6658
0.395,-21.0929
0.396,-21.5128
0.397,-21.9252
0.398,-22.33
0.399,-22.7268
0.4,-23.1154
0.401,-23.4957
0.402,-23.8673
0.403,-24.2301
0.404,-24.5839
0.405,-24.9284
0.406,-25.2634
0.407,-25.5887
0.408,-25.904
0.409,-26.2093
0.41,-26.5041
0.411,-26.7885
0.412,-27.0621
0.413,-27.3247
0.414,-27.5762
0.415,-27.8163
0.416,-28.0449
0.417,-28.2618
0.418,-28.4667
0.419,-28.6596
0.42,-28.8402
0.421,-29.0083
0.422,-29.1639
0.423,-29.3066
0.424,-29.4365
0.425,-29.5533
0.426,-29.6568
0.427,-29.747
0.428,-29.8237
0.429,-29.8867
0.43,-29.936
0.431,-29.9714
0.432,-29.9927
0.433,-30
0.434,-29.9931
0.435,-29.9718
0.436,-29.9362
0.437,-29.8861
0.438,-29.8214
0.439,-29.7421
0.44,-29.6481
0.441,-29.5394
0.442,-29.416
0.443,-29.2777
0.444,-29.1245
0.445,-28.9565
0.446,-28.7736
0.447,-28.5759
0.448,-28.3632
0.449,-28.1357
0.45,-27.8933
0.451,-27.6361
0.452,-27.3641
0.453,-27.0773
0.454,-26.7759
0.455,-26.4599
0.456,-26.1293
0.457,-25.7842
0.458,-25.4247
0.459,-25.051
0.46,-24.6631
0.461,-24.2612
0.462,-23.8454
0.463,-23.4157
0.464,-22.9725
0.465,-22.5158
0.466,-22.0458
0.467,-21.5627
0.468,-21.0666
0.469,-20.5578
0.47,-20.0365
0.471,-19.5029
0.472,-18.9572
0.473,-18.3997
0.474,-17.8306
0.475,-17.2502
0.476,-16.6586
0.477,-16.0563
0.478,-15.4435
0.479,-14.8205
0.48,-14.1876
0.481,-13.5451
0.482,-12.8933
0.483,-12.2326
0.484,-11.5633
0.485,-10.8858
0.486,-10.2004
0.487,-9.50754
0.488,-8.80752
0.489,-8.10075
0.49,-7.38764
0.491,-6.66859
0.492,-5.94401
0.493,-5.21431
0.494,-4.47993
0.495,-3.7413
0.496,-2.99885
0.497,-2.25304
0.498,-1.50432
0.499,-0.753149
0.5,-7.35E-15
0.501,0.754657
0.502,1.51034
0.503,2.26657
0.504,3.02285
0.505,3.7787
0.506,4.5336
0.507,5.28706
0.508,6.03857
0.509,6.78763
0.51,7.5337
0.511,8.27629
0.512,9.01486
0.513,9.7489
0.514,10.4779
0.515,11.2013
0.516,11.9186
0.517,12.6293
0.518,13.3328
0.519,14.0286
0.52,14.7162
0.521,15.395
0.522,16.0646
0.523,16.7244
0.524,17.3739
0.525,18.0126
0.526,18.6399
0.527,19.2554
0.528,19.8586
0.529,20.4489
0.53,21.0258
0.531,21.5889
0.532,22.1376
0.533,22.6715
0.534,23.1902
0.535,23.6931
0.536,24.1798
0.537,24.6498
0.538,25.1027
0.539,25.5381
0.54,25.9556
0.541,26.3547
0.542,26.735
0.543,27.0961
0.544,27.4378
0.545,27.7595
0.546,28.0609
0.547,28.3418
0.548,28.6017
0.549,28.8404
0.55,29.0575
0.551,29.2528
0.552,29.426
0.553,29.5768
0.554,29.705
0.555,29.8105
0.556,29.8928
0.557,29.952
0.558,29.9878
0.559,30
0.56,29.9885
0.561,29.9533
0.562,29.8941
0.563,29.811
0.564,29.7038
0.565,29.5725
0.566,29.4171
0.567,29.2377
0.568,29.0341
0.569,28.8065
0.57,28.5549
0.571,28.2794
0.572,27.9801
0.573,27.6572
0.574,27.3107
0.575,26.9408
0.576,26.5478
0.577,26.1318
0.578,25.6932
0.579,25.232
0.58,24.7487
0.581,24.2434
0.582,23.7167
0.583,23.1687
0.584,22.5998
0.585,22.0105
0.586,21.4011
0.587,20.7721
0.588,20.1239
0.589,19.4571
0.59,18.772
0.591,18.0692
0.592,17.3493
0.593,16.6128
0.594,15.8603
0.595,15.0924
0.596,14.3097
0.597,13.5128
0.598,12.7024
0.599,11.8791
0.6,11.0437
0.601,10.1969
0.602,9.33932
0.603,8.47177
0.604,7.59499
0.605,6.70975
0.606,5.81684
0.607,4.91705
0.608,4.0112
0.609,3.10011
0.61,2.18461
0.611,1.26556
0.612,0.343808
0.613,-0.579776
0.614,-1.50432
0.615,-2.42893
0.616,-3.35273
0.617,-4.2748
0.618,-5.19426
0.619,-6.1102
0.62,-7.02169
0.621,-7.92783
0.622,-8.8277
0.623,-9.72038
0.624,-10.605
0.625,-11.4805
0.626,-12.3461
0.627,-13.2009
0.628,-14.0439
0.629,-14.8742
0.63,-15.691
0.631,-16.4934
0.632,-17.2804
0.633,-18.0512
0.634,-18.8049
0.635,-19.5407
0.636,-20.2578
0.637,-20.9552
0.638,-21.6323
0.639,-22.2881
0.64,-22.922
0.641,-23.5331
0.642,-24.1207
0.643,-24.6841
0.644,-25.2226
0.645,-25.7355
0.646,-26.2221
0.647,-26.6818
0.648,-27.1139
0.649,-27.5179
0.65,-27.8933
0.651,-28.2394
0.652,-28.5558
0.653,-28.842
0.654,-29.0976
0.655,-29.322
0.656,-29.515
0.657,-29.6762
0.658,-29.8053
0.659,-29.9019
0.66,-29.9658
0.661,-29.9968
0.662,-29.9948
0.663,-29.9594
0.664,-29.8908
0.665,-29.7887
0.666,-29.6532
0.667,-29.4842
0.668,-29.2818
0.669,-29.046
0.67,-28.7771
0.671,-28.475
0.672,-28.1401
0.673,-27.7726
0.674,-27.3727
0.675,-26.9408
0.676,-26.4772
0.677,-25.9824
0.678,-25.4567
0.679,-24.9006
0.68,-24.3148
0.681,-23.6996
0.682,-23.0557
0.683,-22.3838
0.684,-21.6844
0.685,-20.9585
0.686,-20.2065
0.687,-19.4295
0.688,-18.6281
0.689,-17.8033
0.69,-16.9559
0.691,-16.0869
0.692,-15.1972
0.693,-14.2878
0.694,-13.3598
0.695,-12.4141
0.696,-11.4519
0.697,-10.4744
0.698,-9.48251
0.699,-8.47756
0.7,-7.4607
0.701,-6.43314
0.702,-5.39613
0.703,-4.35091
0.704,-3.29877
0.705,-2.24101
0.706,-1.17892
0.707,-0.113851
0.708,0.952873
0.709,2.0199
0.71,3.08586
0.711,4.14939
0.712,5.20912
0.713,6.26365
0.714,7.31162
0.715,8.35163
0.716,9.3823
0.717,10.4023
0.718,11.4101
0.719,12.4045
0.72,13.3841
0.721,14.3474
0.722,15.2933
0.723,16.2203
0.724,17.1272
0.725,18.0126
0.726,18.8753
0.727,19.7141
0.728,20.5276
0.729,21.3148
0.73,22.0744
0.731,22.8053
0.732,23.5064
0.733,24.1767
0.734,24.815
0.735,25.4203
0.736,25.9918
0.737,26.5285
0.738,27.0294
0.739,27.4939
0.74,27.921
0.741,28.31
0.742,28.6602
0.743,28.9711
0.744,29.2419
0.745,29.4721
0.746,29.6614
0.747,29.8091
0.748,29.915
0.749,29.9787
0.75,30
0.751,29.9787
0.752,29.9145
0.753,29.8076
0.754,29.6577
0.755,29.4651
0.756,29.2297
0.757,28.9518
0.758,28.6316
0.759,28.2693
0.76,27.8655
0.761,27.4204
0.762,26.9345
0.763,26.4085
0.764,25.843
0.765,25.2385
0.766,24.596
0.767,23.9161
0.768,23.1998
0.769,22.4479
0.77,21.6615
0.771,20.8416
0.772,19.9894
0.773,19.1059
0.774,18.1924
0.775,17.2502
0.776,16.2805
0.777,15.2849
0.778,14.2646
0.779,13.2212
0.78,12.1562
0.781,11.0711
0.782,9.96752
0.783,8.84715
0.784,7.71164
0.785,6.56269
0.786,5.40206
0.787,4.23152
0.788,3.05286
0.789,1.86791
0.79,0.678526
0.791,-0.513437
0.792,-1.70609
0.793,-2.89755
0.794,-4.08591
0.795,-5.26925
0.796,-6.44566
0.797,-7.61322
0.798,-8.77003
0.799,-9.91417
0.8,-11.0437
0.801,-12.1569
0.802,-13.2516
0.803,-14.3262
0.804,-15.3788
0.805,-16.4076
0.806,-17.4108
0.807,-18.3866
0.808,-19.3334
0.809,-20.2494
0.81,-21.1331
0.811,-21.9828
0.812,-22.797
0.813,-23.5742
0.814,-24.313
0.815,-25.0119
0.816,-25.6698
0.817,-26.2852
0.818,-26.857
0.819,-27.3841
0.82,-27.8655
0.821,-28.3
0.822,-28.6868
0.823,-29.0252
0.824,-29.3142
0.825,-29.5533
0.826,-29.7418
0.827,-29.8793
0.828,-29.9652
0.829,-29.9994
0.83,-29.9814
0.831,-29.9113
0.832,-29.7888
0.833,-29.6141
0.834,-29.3872
0.835,-29.1084
0.836,-28.7779
0.837,-28.3962
0.838,-27.9638
0.839,-27.4812
0.84,-26.9491
0.841,-26.3683
0.842,-25.7398
0.843,-25.0643
0.844,-24.343
0.845,-23.577
0.846,-22.7676
0.847,-21.916
0.848,-21.0236
0.849,-20.092
0.85,-19.1227
0.851,-18.1173
0.852,-17.0776
0.853,-16.0054
0.854,-14.9024
0.855,-13.7707
0.856,-12.6122
0.857,-11.4289
0.858,-10.2231
0.859,-8.99688
0.86,-7.75243
0.861,-6.49204
0.862,-5.21803
0.863,-3.93273
0.864,-2.63854
0.865,-1.33787
0.866,-0.0331752
0.867,1.27309
0.868,2.57845
0.869,3.8804
0.87,5.17644
0.871,6.46407
0.872,7.74078
0.873,9.00407
0.874,10.2515
0.875,11.4805
0.876,12.6887
0.877,13.8737
0.878,15.0331
0.879,16.1645
0.88,17.2656
0.881,18.3341
0.882,19.368
0.883,20.3649
0.884,21.3227
0.885,22.2396
0.886,23.1135
0.887,23.9425
0.888,24.7248
0.889,25.4587
0.89,26.1426
0.891,26.7749
0.892,27.3542
0.893,27.8791
0.894,28.3484
0.895,28.761
0.896,29.1158
0.897,29.412
0.898,29.6486
0.899,29.8251
0.9,29.9408
0.901,29.9954
0.902,29.9885
0.903,29.9199
0.904,29.7895
0.905,29.5975
0.906,29.344
0.907,29.0294
0.908,28.654
0.909,28.2185
0.91,27.7236
0.911,27.1701
0.912,26.559
0.913,25.8915
0.914,25.1686
0.915,24.3918
0.916,23.5625
0.917,22.6824
0.918,21.7531
0.919,20.7764
0.92,19.7544
0.921,18.6889
0.922,17.5823
0.923,16.4366
0.924,15.2544
0.925,14.0379
0.926,12.7897
0.927,11.5125
0.928,10.2089
0.929,8.88172
0.93,7.5337
0.931,6.16776
0.932,4.78684
0.933,3.39393
0.934,1.99206
0.935,0.584299
0.936,-0.82626
0.937,-2.2365
0.938,-3.64327
0.939,-5.04345
0.94,-6.43388
0.941,-7.81141
0.942,-9.17293
0.943,-10.5153
0.944,-11.8355
0.945,-13.1304
0.946,-14.3971
0.947,-15.6325
0.948,-16.8338
0.949,-17.9981
0.95,-19.1227
0.951,-20.2049
0.952,-21.242
0.953,-22.2315
0.954,-23.171
0.955,-24.0583
0.956,-24.891
0.957,-25.667
0.958,-26.3845
0.959,-27.0415
0.96,-27.6364
0.961,-28.1675
0.962,-28.6334
0.963,-29.0328
0.964,-29.3645
0.965,-29.6277
0.966,-29.8214
0.967,-29.9449
0.968,-29.9979
0.969,-29.9798
0.97,-29.8905
0.971,-29.7301
0.972,-29.4987
0.973,-29.1966
0.974,-28.8243
0.975,-28.3826
0.976,-27.8721
0.977,-27.2941
0.978,-26.6496
0.979,-25.9401
0.98,-25.167
0.981,-24.332
0.982,-23.4369
0.983,-22.4839
0.984,-21.4749
0.985,-20.4124
0.986,-19.2988
0.987,-18.1366
0.988,-16.9285
0.989,-15.6775
0.99,-14.3865
0.991,-13.0585
0.992,-11.6968
0.993,-10.3046
0.994,-8.88533
0.995,-7.44244
0.996,-5.97948
0.997,-4.50006
0.998,-3.00785
0.999,-1.50658
1,-2.94E-14
1.001,1.50808
1.002,3.01385
1.003,4.51348
1.004,6.00312
1.005,7.47895
1.006,8.93716
1.007,10.374
1.008,11.7856
1.009,13.1684
1.01,14.5186
1.011,15.8328
1.012,17.1074
1.013,18.3389
1.014,19.5241
1.015,20.6598
1.016,21.7427
1.017,22.77
1.018,23.7388
1.019,24.6464
1.02,25.4902
1.021,26.2677
1.022,26.9769
1.023,27.6155
1.024,28.1817
1.025,28.6738
1.026,29.0902
1.027,29.4296
1.028,29.691
1.029,29.8732
1.03,29.9757
1.031,29.998
1.032,29.9397
1.033,29.8007
1.034,29.5812
1.035,29.2816
1.036,28.9024
1.037,28.4445
1.038,27.9088
1.039,27.2966
1.04,26.6094
1.041,25.8487
1.042,25.0165
1.043,24.1149
1.044,23.1461
1.045,22.1127
1.046,21.0172
1.047,19.8625
1.048,18.6518
1.049,17.3881
1.05,16.0748
1.051,14.7155
1.052,13.3138
1.053,11.8736
1.054,10.3987
1.055,8.89325
1.056,7.36133
1.057,5.80722
1.058,4.23525
1.059,2.64981
1.06,1.05536
1.061,-0.543591
1.062,-2.1425
1.063,-3.73681
1.064,-5.32194
1.065,-6.89334
1.066,-8.44645
1.067,-9.97676
1.068,-11.4798
1.069,-12.9512
1.07,-14.3865
1.071,-15.7815
1.072,-17.1321
1.073,-18.4342
1.074,-19.6839
1.075,-20.8774
1.076,-22.011
1.077,-23.0812
1.078,-24.0848
1.079,-25.0186
1.08,-25.8796
1.081,-26.6652
1.082,-27.3727
1.083,-27.9999
1.084,-28.5447
1.085,-29.0052
1.086,-29.3799
1.087,-29.6673
1.088,-29.8664
1.089,-29.9764
1.09,-29.9966
1.091,-29.9268
1.092,-29.7668
1.093,-29.5171
1.094,-29.1779
1.095,-28.7503
1.096,-28.2351
1.097,-27.6337
1.098,-26.9478
1.099,-26.1791
1.1,-25.3298
1.101,-24.4023
1.102,-23.3992
1.103,-22.3234
1.104,-21.178
1.105,-19.9663
1.106,-18.6919
1.107,-17.3586
1.108,-15.9703
1.109,-14.5312
1.11,-13.0456
1.111,-11.5181
1.112,-9.9533
1.113,-8.35598
1.114,-6.73106
1.115,-5.08358
1.116,-3.41865
1.117,-1.74147
1.118,-0.0573026
1.119,1.62855
1.12,3.31076
1.121,4.98398
1.122,6.64286
1.123,8.28209
1.124,9.89637
1.125,11.4805
1.126,13.0293
1.127,14.5378
1.128,16.0009
1.129,17.4139
1.13,18.772
1.131,20.0707
1.132,21.3058
1.133,22.4729
1.134,23.5681
1.135,24.5878
1.136,25.5283
1.137,26.3863
1.138,27.1589
1.139,27.8433
1.14,28.4371
1.141,28.9379
1.142,29.344
1.143,29.6538
1.144,29.8659
1.145,29.9794
1.146,29.9937
1.147,29.9085
1.148,29.7237
1.149,29.4398
1.15,29.0575
1.151,28.5777
1.152,28.0018
1.153,27.3315
1.154,26.5689
1.155,25.7161
1.156,24.7759
1.157,23.7512
1.158,22.6454
1.159,21.4618
1.16,20.2043
1.161,18.8771
1.162,17.4844
1.163,16.0309
1.164,14.5213
1.165,12.9607
1.166,11.3543
1.167,9.70754
1.168,8.02595
1.169,6.31526
1.17,4.5813
1.171,2.83001
1.172,1.06741
1.173,-0.700386
1.174,-2.46726
1.175,-4.22704
1.176,-5.97357
1.177,-7.70071
1.178,-9.40235
1.179,-11.0725
1.18,-12.7051
1.181,-14.2944
1.182,-15.8347
1.183,-17.3204
1.184,-18.7461
1.185,-20.1066
1.186,-21.3969
1.187,-22.6122
1.188,-23.748
1.189,-24.8001
1.19,-25.7645
1.191,-26.6375
1.192,-27.4158
1.193,-28.0962
1.194,-28.6762
1.195,-29.1534
1.196,-29.5258
1.197,-29.7917
1.198,-29.9501
1.199,-29.9999
1.2,-29.9408
1.201,-29.7727
1.202,-29.496
1.203,-29.1113
1.204,-28.6198
1.205,-28.0231
1.206,-27.3231
1.207,-26.5221
1.208,-25.6228
1.209,-24.6283
1.21,-23.542
1.211,-22.3677
1.212,-21.1095
1.213,-19.772
1.214,-18.3598
1.215,-16.8781
1.216,-15.3322
1.217,-13.7278
1.218,-12.0706
1.219,-10.3669
1.22,-8.62282
1.221,-6.8449
1.222,-5.03973
1.223,-3.21408
1.224,-1.37478
1.225,0.47122
1.226,2.31694
1.227,4.15536
1.228,5.97948
1.229,7.78229
1.23,9.55687
1.231,11.2964
1.232,12.994
1.233,14.6432
1.234,16.2374
1.235,17.7705
1.236,19.2364
1.237,20.6291
1.238,21.9432
1.239,23.1734
1.24,24.3148
1.241,25.3625
1.242,26.3124
1.243,27.1605
1.244,27.9033
1.245,28.5375
1.246,29.0605
1.247,29.4699
1.248,29.7638
1.249,29.9408
1.25,30
1.251,29.9408
1.252,29.7631
1.253,29.4673
1.254,29.0545
1.255,28.5259
1.256,27.8833
1.257,27.1291
1.258,26.2659
1.259,25.2971
1.26,24.2261
1.261,23.0571
1.262,21.7946
1.263,20.4433
1.264,19.0086
1.265,17.496
1.266,15.9115
1.267,14.2613
1.268,12.5519
1.269,10.7902
1.27,8.98321
1.271,7.13819
1.272,5.26257
1.273,3.36396
1.274,1.4501
1.275,-0.47122
1.276,-2.39211
1.277,-4.30465
1.278,-6.20096
1.279,-8.07316
1.28,-9.91346
1.281,-11.7141
1.282,-13.4677
1.283,-15.1666
1.284,-16.8038
1.285,-18.3723
1.286,-19.8654
1.287,-21.2766
1.288,-22.5998
1.289,-23.8293
1.29,-24.9598
1.291,-25.9862
1.292,-26.9039
1.293,-27.7089
1.294,-28.3974
1.295,-28.9664
1.296,-29.413
1.297,-29.7351
1.298,-29.9312
1.299,-29.9999
1.3,-29.9408
1.301,-29.7538
1.302,-29.4394
1.303,-28.9987
1.304,-28.4332
1.305,-27.7452
1.306,-26.9372
1.307,-26.0125
1.308,-24.9748
1.309,-23.8284
1.31,-22.578
1.311,-21.2287
1.312,-19.7861
1.313,-18.2565
1.314,-16.6461
1.315,-14.9619
1.316,-13.211
1.317,-11.401
1.318,-9.53971
1.319,-7.6351
1.32,-5.69548
1.321,-3.72933
1.322,-1.74524
1.323,0.248057
1.324,2.24176
1.325,4.22704
1.326,6.19506
1.327,8.13705
1.328,10.0443
1.329,11.9082
1.33,13.7204
1.331,15.4726
1.332,17.1569
1.333,18.7655
1.334,20.2911
1.335,21.7266
1.336,23.0653
1.337,24.3011
1.338,25.4279
1.339,26.4406
1.34,27.3343
1.341,28.1047
1.342,28.7479
1.343,29.2608
1.344,29.6407
1.345,29.8857
1.346,29.9942
1.347,29.9655
1.348,29.7994
1.349,29.4964
1.35,29.0575
1.351,28.4845
1.352,27.7797
1.353,26.9461
1.354,25.9873
1.355,24.9074
1.356,23.7111
1.357,22.4038
1.358,20.9913
1.359,19.48
1.36,17.8767
1.361,16.1886
1.362,14.4235
1.363,12.5896
1.364,10.6952
1.365,8.74912
1.366,6.76045
1.367,4.73846
1.368,2.69261
1.369,0.632544
1.37,-1.43202
1.371,-3.4913
1.372,-5.5355
1.373,-7.55487
1.374,-9.53971
1.375,-11.4805
1.376,-13.3679
1.377,-15.1926
1.378,-16.946
1.379,-18.6193
1.38,-20.2043
1.381,-21.6933
1.382,-23.0788
1.383,-24.354
1.384,-25.5124
1.385,-26.5482
1.386,-27.456
1.387,-28.2313
1.388,-28.8699
1.389,-29.3684
1.39,-29.7241
1.391,-29.935
1.392,-29.9997
1.393,-29.9176
1.394,-29.6888
1.395,-29.314
1.396,-28.7949
1.397,-28.1336
1.398,-27.3331
1.399,-26.3971
1.4,-25.3298
1.401,-24.1364
1.402,-22.8225
1.403,-21.3942
1.404,-19.8586
1.405,-18.2229
1.406,-16.4953
1.407,-14.684
1.408,-12.7979
1.409,-10.8465
1.41,-8.83922
1.411,-6.78616
1.412,-4.6975
1.413,-2.58371
1.414,-0.455388
1.415,1.67674
1.416,3.80188
1.417,5.90927
1.418,7.98817
1.419,10.0279
1.42,12.0181
1.421,13.9485
1.422,15.8091
1.423,17.5902
1.424,19.2826
1.425,20.8774
1.426,22.3662
1.427,23.7411
1.428,24.9949
1.429,26.1207
1.43,27.1126
1.431,27.9651
1.432,28.6736
1.433,29.2339
1.434,29.643
1.435,29.8984
1.436,29.9985
1.437,29.9423
1.438,29.7298
1.439,29.3619
1.44,28.8402
1.441,28.1669
1.442,27.3455
1.443,26.3798
1.444,25.2747
1.445,24.0357
1.446,22.6691
1.447,21.1817
1.448,19.5813
1.449,17.8761
1.45,16.0748
1.451,14.1869
1.452,12.2223
1.453,10.1912
1.454,8.10438
1.455,5.97283
1.456,3.80787
