time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0010995574
0.0020000000,0.0043982297
0.0030000000,0.0098960168
0.0040000000,0.0175929185
0.0050000000,0.0274889343
0.0060000000,0.0395840633
0.0070000000,0.0538783036
0.0080000000,0.0703716522
0.0090000000,0.0890641046
0.0100000000,0.1099556542
0.0110000000,0.1330462919
0.0120000000,0.1583360051
0.0130000000,0.1858247777
0.0140000000,0.2155125887
0.0150000000,0.2473994120
0.0160000000,0.2814852149
0.0170000000,0.3177699577
0.0180000000,0.3562535925
0.0190000000,0.3969360623
0.0200000000,0.4398172994
0.0210000000,0.4848972250
0.0220000000,0.5321757471
0.0230000000,0.5816527600
0.0240000000,0.6333281424
0.0250000000,0.6872017559
0.0260000000,0.7432734441
0.0270000000,0.8015430304
0.0280000000,0.8620103166
0.0290000000,0.9246750815
0.0300000000,0.9895370786
0.0310000000,1.0565960346
0.0320000000,1.1258516477
0.0330000000,1.1973035852
0.0340000000,1.2709514818
0.0350000000,1.3467949375
0.0360000000,1.4248335154
0.0370000000,1.5050667395
0.0380000000,1.5874940925
0.0390000000,1.6721150134
0.0400000000,1.7589288953
0.0410000000,1.8479350825
0.0420000000,1.9391328685
0.0430000000,2.0325214932
0.0440000000,2.1281001403
0.0450000000,2.2258679344
0.0460000000,2.3258239385
0.0470000000,2.4279671511
0.0480000000,2.5322965033
0.0490000000,2.6388108557
0.0500000000,2.7475089956
0.0510000000,2.8583896339
0.0520000000,2.9714514016
0.0530000000,3.0866928474
0.0540000000,3.2041124334
0.0550000000,3.3237085327
0.0560000000,3.4454794254
0.0570000000,3.5694232954
0.0580000000,3.6955382271
0.0590000000,3.8238222011
0.0600000000,3.9542730917
0.0610000000,4.0868886621
0.0620000000,4.2216665612
0.0630000000,4.3586043200
0.0640000000,4.4976993473
0.0650000000,4.6389489257
0.0660000000,4.7823502083
0.0670000000,4.9279002138
0.0680000000,5.0755958230
0.0690000000,5.2254337745
0.0700000000,5.3774106602
0.0710000000,5.5315229215
0.0720000000,5.6877668446
0.0730000000,5.8461385561
0.0740000000,6.0066340191
0.0750000000,6.1692490278
0.0760000000,6.3339792038
0.0770000000,6.5008199910
0.0780000000,6.6697666512
0.0790000000,6.8408142591
0.0800000000,7.0139576978
0.0810000000,7.1891916539
0.0820000000,7.3665106125
0.0830000000,7.5459088527
0.0840000000,7.7273804420
0.0850000000,7.9109192318
0.0860000000,8.0965188521
0.0870000000,8.2841727065
0.0880000000,8.4738739668
0.0890000000,8.6656155681
0.0900000000,8.8593902036
0.0910000000,9.0551903187
0.0920000000,9.2530081064
0.0930000000,9.4528355015
0.0940000000,9.6546641753
0.0950000000,9.8584855300
0.0960000000,10.0642906933
0.0970000000,10.2720705131
0.0980000000,10.4818155514
0.0990000000,10.6935160790
0.1000000000,10.9071620698
0.1010000000,11.1227431953
0.1020000000,11.3402488183
0.1030000000,11.5596679879
0.1040000000,11.7809894330
0.1050000000,12.0042015573
0.1060000000,12.2292924324
0.1070000000,12.4562497930
0.1080000000,12.6850610302
0.1090000000,12.9157131862
0.1100000000,13.1481929478
0.1110000000,13.3824866408
0.1120000000,13.6185802239
0.1130000000,13.8564592828
0.1140000000,14.0961090240
0.1150000000,14.3375142690
0.1160000000,14.5806594482
0.1170000000,14.8255285944
0.1180000000,15.0721053376
0.1190000000,15.3203728983
0.1200000000,15.5703140815
0.1210000000,15.8219112709
0.1220000000,16.0751464224
0.1230000000,16.3300010585
0.1240000000,16.5864562619
0.1250000000,16.8444926696
0.1260000000,17.1040904667
0.1270000000,17.3652293805
0.1280000000,17.6278886744
0.1290000000,17.8920471418
0.1300000000,18.1576831002
0.1310000000,18.4247743852
0.1320000000,18.6932983446
0.1330000000,18.9632318322
0.1340000000,19.2345512023
0.1350000000,19.5072323034
0.1360000000,19.7812504725
0.1370000000,20.0565805297
0.1380000000,20.3331967716
0.1390000000,20.6110729663
0.1400000000,20.8901823473
0.1410000000,21.1704976081
0.1420000000,21.4519908963
0.1430000000,21.7346338083
0.1440000000,22.0183973840
0.1450000000,22.3032521008
0.1460000000,22.5891678687
0.1470000000,22.8761140249
0.1480000000,23.1640593286
0.1490000000,23.4529719556
0.1500000000,23.7428194935
0.1510000000,24.0335689367
0.1520000000,24.3251866813
0.1530000000,24.6176385203
0.1540000000,24.9108896390
0.1550000000,25.2049046103
0.1560000000,25.4996473899
0.1570000000,25.7950813125
0.1580000000,26.0911690865
0.1590000000,26.3878727909
0.1600000000,26.6851538700
0.1610000000,26.9829731305
0.1620000000,27.2812907367
0.1630000000,27.5800662076
0.1640000000,27.8792584125
0.1650000000,28.1788255680
0.1660000000,28.4787252344
0.1670000000,28.7789143130
0.1680000000,29.0793490421
0.1690000000,29.3799849951
0.1700000000,29.6807770772
0.1710000000,29.9816795228
0.1720000000,30.2826458934
0.1730000000,30.5836290751
0.1740000000,30.8845812766
0.1750000000,31.1854540273
0.1760000000,31.4861981757
0.1770000000,31.7867638876
0.1780000000,32.0871006452
0.1790000000,32.3871572456
0.1800000000,32.6868818002
0.1810000000,32.9862217336
0.1820000000,33.2851237836
0.1830000000,33.5835340004
0.1840000000,33.8813977472
0.1850000000,34.1786596996
0.1860000000,34.4752638468
0.1870000000,34.7711534916
0.1880000000,35.0662712519
0.1890000000,35.3605590614
0.1900000000,35.6539581711
0.1910000000,35.9464091513
0.1920000000,36.2378518931
0.1930000000,36.5282256109
0.1940000000,36.8174688450
0.1950000000,37.1055194638
0.1960000000,37.3923146676
0.1970000000,37.6777909916
0.1980000000,37.9618843095
0.1990000000,38.2445298375
0.2000000000,38.5256621388
0.2010000000,38.8052151279
0.2020000000,39.0831220759
0.2030000000,39.3593156151
0.2040000000,39.6337277452
0.2050000000,39.9062898390
0.2060000000,40.1769326486
0.2070000000,40.4455863120
0.2080000000,40.7121803601
0.2090000000,40.9766437239
0.2100000000,41.2389047426
0.2110000000,41.4988911711
0.2120000000,41.7565301887
0.2130000000,42.0117484078
0.2140000000,42.2644718835
0.2150000000,42.5146261224
0.2160000000,42.7621360933
0.2170000000,43.0069262374
0.2180000000,43.2489204787
0.2190000000,43.4880422357
0.2200000000,43.7242144326
0.2210000000,43.9573595119
0.2220000000,44.1873994461
0.2230000000,44.4142557512
0.2240000000,44.6378494996
0.2250000000,44.8581013343
0.2260000000,45.0749314828
0.2270000000,45.2882597715
0.2280000000,45.4980056416
0.2290000000,45.7040881637
0.2300000000,45.9064260546
0.2310000000,46.1049376935
0.2320000000,46.2995411386
0.2330000000,46.4901541451
0.2340000000,46.6766941827
0.2350000000,46.8590784542
0.2360000000,47.0372239143
0.2370000000,47.2110472888
0.2380000000,47.3804650944
0.2390000000,47.5453936596
0.2400000000,47.7057491445
0.2410000000,47.8614475631
0.2420000000,48.0124048045
0.2430000000,48.1585366553
0.2440000000,48.2997588227
0.2450000000,48.4359869574
0.2460000000,48.5671366777
0.2470000000,48.6931235937
0.2480000000,48.8138633323
0.2490000000,48.9292715622
0.2500000000,49.0392640202
0.2510000000,49.1437565371
0.2520000000,49.2426650649
0.2530000000,49.3359057042
0.2540000000,49.4233947319
0.2550000000,49.5050486295
0.2560000000,49.5807841125
0.2570000000,49.6505181593
0.2580000000,49.7141680415
0.2590000000,49.7716513542
0.2600000000,49.8228860468
0.2610000000,49.8677904546
0.2620000000,49.9062833310
0.2630000000,49.9382838793
0.2640000000,49.9637117862
0.2650000000,49.9824872552
0.2660000000,49.9945310400
0.2670000000,49.9997644796
0.2680000000,49.9981095326
0.2690000000,49.9894888130
0.2700000000,49.9738256257
0.2710000000,49.9510440030
0.2720000000,49.9210687413
0.2730000000,49.8838254381
0.2740000000,49.8392405302
0.2750000000,49.7872413312
0.2760000000,49.7277560703
0.2770000000,49.6607139312
0.2780000000,49.5860450918
0.2790000000,49.5036807632
0.2800000000,49.4135532309
0.2810000000,49.3155958946
0.2820000000,49.2097433095
0.2830000000,49.0959312275
0.2840000000,48.9740966392
0.2850000000,48.8441778154
0.2860000000,48.7061143503
0.2870000000,48.5598472033
0.2880000000,48.4053187429
0.2890000000,48.2424727894
0.2900000000,48.0712546590
0.2910000000,47.8916112074
0.2920000000,47.7034908741
0.2930000000,47.5068437271
0.2940000000,47.3016215071
0.2950000000,47.0877776727
0.2960000000,46.8652674455
0.2970000000,46.6340478553
0.2980000000,46.3940777856
0.2990000000,46.1453180193
0.3000000000,45.8877312842
0.3010000000,45.6212822992
0.3020000000,45.3459378200
0.3030000000,45.0616666855
0.3040000000,44.7684398635
0.3050000000,44.4662304971
0.3060000000,44.1550139510
0.3070000000,43.8347678573
0.3080000000,43.5054721622
0.3090000000,43.1671091714
0.3100000000,42.8196635970
0.3110000000,42.4631226026
0.3120000000,42.0974758500
0.3130000000,41.7227155440
