time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0004712389
0.0020000000,0.0018849556
0.0030000000,0.0042411501
0.0040000000,0.0075398223
0.0050000000,0.0117809723
0.0060000000,0.0169646000
0.0070000000,0.0230907052
0.0080000000,0.0301592876
0.0090000000,0.0381703470
0.0100000000,0.0471238828
0.0110000000,0.0570198943
0.0120000000,0.0678583805
0.0130000000,0.0796393401
0.0140000000,0.0923627715
0.0150000000,0.1060286726
0.0160000000,0.1206370409
0.0170000000,0.1361878731
0.0180000000,0.1526811657
0.0190000000,0.1701169140
0.0200000000,0.1884951127
0.0210000000,0.2078157557
0.0220000000,0.2280788357
0.0230000000,0.2492843443
0.0240000000,0.2714322721
0.0250000000,0.2945226081
0.0260000000,0.3185553400
0.0270000000,0.3435304539
0.0280000000,0.3694479342
0.0290000000,0.3963077635
0.0300000000,0.4241099224
0.0310000000,0.4528543894
0.0320000000,0.4825411408
0.0330000000,0.5131701502
0.0340000000,0.5447413890
0.0350000000,0.5772548257
0.0360000000,0.6107104258
0.0370000000,0.6451081520
0.0380000000,0.6804479634
0.0390000000,0.7167298160
0.0400000000,0.7539536618
0.0410000000,0.7921194493
0.0420000000,0.8312271229
0.0430000000,0.8712766227
0.0440000000,0.9122678844
0.0450000000,0.9542008391
0.0460000000,0.9970754130
0.0470000000,1.0408915271
0.0480000000,1.0856490975
0.0490000000,1.1313480341
0.0500000000,1.1779882417
0.0510000000,1.2255696185
0.0520000000,1.2740920569
0.0530000000,1.3235554423
0.0540000000,1.3739596537
0.0550000000,1.4253045629
0.0560000000,1.4775900343
0.0570000000,1.5308159248
0.0580000000,1.5849820835
0.0590000000,1.6400883511
0.0600000000,1.6961345602
0.0610000000,1.7531205343
0.0620000000,1.8110460882
0.0630000000,1.8699110271
0.0640000000,1.9297151467
0.0650000000,1.9904582327
0.0660000000,2.0521400604
0.0670000000,2.1147603948
0.0680000000,2.1783189897
0.0690000000,2.2428155878
0.0700000000,2.3082499200
0.0710000000,2.3746217055
0.0720000000,2.4419306510
0.0730000000,2.5101764508
0.0740000000,2.5793587860
0.0750000000,2.6494773244
0.0760000000,2.7205317201
0.0770000000,2.7925216130
0.0780000000,2.8654466287
0.0790000000,2.9393063777
