time (s),velocity (rpm)
0.0000000000,-0.0786781311
0.0010000000,0.0357627869
0.0020000000,0.0786781311
0.0030000000,-0.0858306885
0.0040000000,-0.0429153442
0.0050000000,0.0929832458
0.0060000000,0.0071525574
0.0070000000,-0.1144409180
0.0080000000,0.0357627869
0.0090000000,0.1001358032
0.0100000000,-0.0572204590
0.0110000000,-0.0715255737
0.0120000000,0.0715255737
0.0130000000,0.0643730164
0.0140000000,-0.0786781311
0.0150000000,-0.0357627869
0.0160000000,0.1144409180
0.0170000000,-0.0214576721
0.0180000000,-0.0572204590
0.0190000000,-0.0071525574
0.0200000000,0.0786781311
0.0210000000,-0.0214576721
0.0220000000,-0.0572204590
0.0230000000,0.0143051147
0.0240000000,0.0715255737
0.0250000000,0.0071525574
0.0260000000,-0.0715255737
0.0270000000,0.0071525574
0.0280000000,0.0572204590
0.0290000000,0.0071525574
0.0300000000,-0.0429153442
0.0310000000,0.0214576721
0.0320000000,0.0286102295
0.0330000000,-0.0214576721
0.0340000000,0.0071525574
0.0350000000,0.0572204590
0.0360000000,0.0143051147
0.0370000000,0.0000000000
0.0380000000,0.0071525574
0.0390000000,0.0143051147
0.0400000000,0.0643730164
0.0410000000,0.0357627869
0.0420000000,0.0000000000
0.0430000000,0.0715255737
0.0440000000,0.0643730164
0.0450000000,0.1001358032
0.0460000000,0.1072883606
0.0470000000,0.0858306885
0.0480000000,0.1144409180
0.0490000000,0.1430511475
0.0500000000,0.1430511475
0.0510000000,0.1144409180
0.0520000000,0.1788139343
0.0530000000,0.1716613770
0.0540000000,0.1859664917
0.0550000000,0.1859664917
0.0560000000,0.1931190491
0.0570000000,0.3075599670
0.0580000000,0.2074241638
0.0590000000,0.2646446228
0.0600000000,0.3147125244
0.0610000000,0.3290176392
0.0620000000,0.3504753113
0.0630000000,0.3933906555
0.0640000000,0.3862380981
0.0650000000,0.5221366882
0.0660000000,0.4863739014
0.0670000000,0.5292892456
0.0680000000,0.6151199341
0.0690000000,0.6508827209
0.0700000000,0.7081031799
0.0710000000,0.8082389832
0.0720000000,0.8511543274
0.0730000000,0.9584426880
0.0740000000,1.0013580322
0.0750000000,1.1801719666
0.0760000000,1.2445449829
0.0770000000,1.4305114746
0.0780000000,1.5449523926
0.0790000000,1.6951560974
0.0800000000,1.7952919006
