time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0002513274
0.0020000000,0.0010053096
0.0030000000,0.0022619467
0.0040000000,0.0040212385
0.0050000000,0.0062831849
0.0060000000,0.0090477856
0.0070000000,0.0123150401
0.0080000000,0.0160849475
0.0090000000,0.0203575063
0.0100000000,0.0251327148
0.0110000000,0.0304105700
0.0120000000,0.0361910684
0.0130000000,0.0424742050
0.0140000000,0.0492599736
0.0150000000,0.0565483664
0.0160000000,0.0643393736
0.0170000000,0.0726329835
0.0180000000,0.0814291817
0.0190000000,0.0907279511
0.0200000000,0.1005292716
0.0210000000,0.1108331196
0.0220000000,0.1216394677
0.0230000000,0.1329482843
0.0240000000,0.1447595332
0.0250000000,0.1570731731
0.0260000000,0.1698891573
0.0270000000,0.1832074331
0.0280000000,0.1970279413
0.0290000000,0.2113506158
0.0300000000,0.2261753832
0.0310000000,0.2415021617
0.0320000000,0.2573308613
0.0330000000,0.2736613827
0.0340000000,0.2904936168
0.0350000000,0.3078274443
0.0360000000,0.3256627346
0.0370000000,0.3439993457
0.0380000000,0.3628371232
0.0390000000,0.3821758995
0.0400000000,0.4020154936
0.0410000000,0.4223557097
0.0420000000,0.4431963370
0.0430000000,0.4645371484
0.0440000000,0.4863779004
0.0450000000,0.5087183316
0.0460000000,0.5315581624
0.0470000000,0.5548970938
0.0480000000,0.5787348068
0.0490000000,0.6030709613
0.0500000000,0.6279051953
0.0510000000,0.6532371241
0.0520000000,0.6790663392
0.0530000000,0.7053924073
0.0540000000,0.7322148695
0.0550000000,0.7595332403
0.0560000000,0.7873470065
0.0570000000,0.8156556260
0.0580000000,0.8444585272
0.0590000000,0.8737551076
0.0600000000,0.9035447328
0.0610000000,0.9338267355
0.0620000000,0.9646004142
0.0630000000,0.9958650323
0.0640000000,1.0276198166
0.0650000000,1.0598639566
0.0660000000,1.0925966029
0.0670000000,1.1258168663
0.0680000000,1.1595238163
0.0690000000,1.1937164802
0.0700000000,1.2283938415
0.0710000000,1.2635548389
0.0720000000,1.2991983649
0.0730000000,1.3353232645
0.0740000000,1.3719283340
0.0750000000,1.4090123194
0.0760000000,1.4465739153
0.0770000000,1.4846117636
0.0780000000,1.5231244519
0.0790000000,1.5621105120
0.0800000000,1.6015684190
0.0810000000,1.6414965895
0.0820000000,1.6818933800
0.0830000000,1.7227570860
0.0840000000,1.7640859400
0.0850000000,1.8058781105
0.0860000000,1.8481317000
0.0870000000,1.8908447439
0.0880000000,1.9340152089
0.0890000000,1.9776409911
0.0900000000,2.0217199153
0.0910000000,2.0662497325
0.0920000000,2.1112281190
0.0930000000,2.1566526745
0.0940000000,2.2025209206
0.0950000000,2.2488302993
0.0960000000,2.2955781714
0.0970000000,2.3427618146
0.0980000000,2.3903784222
0.0990000000,2.4384251014
0.1000000000,2.4868988716
0.1010000000,2.5357966628
0.1020000000,2.5851153138
0.1030000000,2.6348515709
0.1040000000,2.6850020857
0.1050000000,2.7355634141
0.1060000000,2.7865320140
0.1070000000,2.8379042439
0.1080000000,2.8896763613
0.1090000000,2.9418445208
0.1100000000,2.9944047726
0.1110000000,3.0473530608
0.1120000000,3.1006852214
0.1130000000,3.1543969809
0.1140000000,3.2084839548
0.1150000000,3.2629416453
0.1160000000,3.3177654400
0.1170000000,3.3729506104
0.1180000000,3.4284923097
0.1190000000,3.4843855715
0.1200000000,3.5406253079
0.1210000000,3.5972063079
0.1220000000,3.6541232359
0.1230000000,3.7113706296
0.1240000000,3.7689428989
0.1250000000,3.8268343237
0.1260000000,3.8850390525
0.1270000000,3.9435511008
0.1280000000,4.0023643497
0.1290000000,4.0614725435
0.1300000000,4.1208692891
0.1310000000,4.1805480535
0.1320000000,4.2405021631
0.1330000000,4.3007248012
0.1340000000,4.3612090073
0.1350000000,4.4219476750
0.1360000000,4.4829335508
0.1370000000,4.5441592325
0.1380000000,4.6056171677
0.1390000000,4.6672996523
