ModelName,MeanRMSE,StdRMSE,MinRMSE,MaxRMSE
OE222,0.114852315305058,0.0544010143647433,0.0439919534883875,0.23141791864489
OE221,0.12585843442403,0.0384510292408298,0.081608016982638,0.212715463046411
OE241,0.180618786553898,0.0294614468605296,0.139796175741715,0.244899631848098
OE341,0.217651261793306,0.0473542027094639,0.15218454297286,0.321264321279282
OE451,0.221672753908575,0.0495745240809925,0.15657374507963,0.33044191345889
OE342,0.27719856847942,0.0440125641226917,0.221373006819357,0.376206362700027
OE343,0.287791753733704,0.0507498298109338,0.229676141906868,0.398116272699962
OE331,0.290240457536629,0.0508109721726263,0.233747610415025,0.399945059586233
