time (s),velocity (rpm)
0.0000000000,-0.0929832458
0.0010000000,-0.0143051147
0.0020000000,0.1001358032
0.0030000000,-0.0286102295
0.0040000000,-0.0929832458
0.0050000000,0.0572204590
0.0060000000,0.0643730164
0.0070000000,-0.1072883606
0.0080000000,-0.0071525574
0.0090000000,0.1072883606
0.0100000000,-0.0214576721
0.0110000000,-0.0786781311
0.0120000000,0.0429153442
0.0130000000,0.0715255737
0.0140000000,-0.0572204590
0.0150000000,-0.0500679016
0.0160000000,0.0786781311
0.0170000000,0.0715255737
0.0180000000,-0.0071525574
0.0190000000,0.0214576721
0.0200000000,0.0858306885
0.0210000000,0.1144409180
0.0220000000,0.1072883606
0.0230000000,0.2074241638
0.0240000000,0.3004074097
0.0250000000,0.3075599670
0.0260000000,0.3576278687
0.0270000000,0.4005432129
0.0280000000,0.4220008850
0.0290000000,0.4863739014
0.0300000000,0.6008148193
0.0310000000,0.6794929504
0.0320000000,0.8153915405
0.0330000000,0.9512901306
0.0340000000,1.1014938354
0.0350000000,1.2803077698
0.0360000000,1.4591217041
0.0370000000,1.6665458679
0.0380000000,1.9383430481
0.0390000000,2.3102760315
0.0400000000,2.6893615723
0.0410000000,3.1399726868
0.0420000000,3.5333633423
0.0430000000,3.8909912109
0.0440000000,4.1842460632
0.0450000000,4.4775009155
0.0460000000,4.8565864563
0.0470000000,5.4001808167
0.0480000000,5.7935714722
0.0490000000,6.2084197998
0.0500000000,6.3228607178
0.0510000000,6.3800811768
0.0520000000,6.8163871765
0.0530000000,7.2956085205
0.0540000000,7.3528289795
0.0550000000,7.6889991760
0.0560000000,8.3470344543
0.0570000000,8.8405609131
0.0580000000,9.1481208801
0.0590000000,9.2196464539
0.0600000000,9.8633766174
0.0610000000,10.0779533386
0.0620000000,10.6930732727
0.0630000000,11.5513801575
0.0640000000,11.3368034363
0.0650000000,11.6515159607
0.0660000000,11.7444992065
0.0670000000,12.2237205505
0.0680000000,13.1607055664
0.0690000000,13.3037567139
0.0700000000,13.7543678284
0.0710000000,14.1620635986
0.0720000000,15.5210494995
0.0730000000,15.2349472046
0.0740000000,15.4709815979
0.0750000000,15.4924392700
0.0760000000,16.7083740234
0.0770000000,16.8371200562
0.0780000000,17.2948837280
0.0790000000,18.7683105469
0.0800000000,18.7897682190
0.0810000000,18.6395645142
0.0820000000,19.1974639893
0.0830000000,19.9270248413
0.0840000000,20.4133987427
0.0850000000,21.8582153320
0.0860000000,21.9297409058
0.0870000000,21.4934349060
0.0880000000,22.6449966431
0.0890000000,22.8738784790
0.0900000000,24.0254402161
0.0910000000,24.8479843140
0.0920000000,24.1899490356
0.0930000000,25.4416465759
0.0940000000,25.4201889038
0.0950000000,27.2870063782
0.0960000000,27.1725654602
0.0970000000,27.7948379517
0.0980000000,28.0594825745
0.0990000000,29.1395187378
0.1000000000,29.8905372620
0.1010000000,29.8690795898
0.1020000000,30.3339958191
0.1030000000,31.9504737854
0.1040000000,31.3568115234
0.1050000000,31.9933891296
0.1060000000,32.7730178833
0.1070000000,34.2822074890
0.1080000000,33.1735610962
0.1090000000,34.5683097839
0.1100000000,36.1275672913
0.1110000000,35.5553627014
0.1120000000,35.7699394226
0.1130000000,37.5509262085
0.1140000000,38.3162498474
0.1150000000,37.7440452576
0.1160000000,39.2532348633
0.1170000000,40.5907630920
0.1180000000,40.3118133545
0.1190000000,41.9425964355
0.1200000000,42.1786308289
0.1210000000,42.7079200745
0.1220000000,44.2528724670
0.1230000000,44.3959236145
0.1240000000,43.9739227295
0.1250000000,47.0423698425
0.1260000000,45.4473495483
0.1270000000,47.7790832520
0.1280000000,47.1997261047
