time (s),velocity (rpm)
0.0000000000,0.0000000000
0.0010000000,0.0031415927
0.0020000000,0.0125663706
0.0030000000,0.0282743335
0.0040000000,0.0502654803
0.0050000000,0.0785398083
0.0060000000,0.1130973114
0.0070000000,0.1539379792
0.0080000000,0.2010617944
0.0090000000,0.2544687303
0.0100000000,0.3141587486
0.0110000000,0.3801317956
0.0120000000,0.4523877990
0.0130000000,0.5309266641
0.0140000000,0.6157482691
0.0150000000,0.7068524607
0.0160000000,0.8042390494
0.0170000000,0.9079078033
0.0180000000,1.0178584433
0.0190000000,1.1340906361
0.0200000000,1.2566039883
0.0210000000,1.3853980392
0.0220000000,1.5204722535
0.0230000000,1.6618260141
0.0240000000,1.8094586136
0.0250000000,1.9633692461
0.0260000000,2.1235569986
0.0270000000,2.2900208419
0.0280000000,2.4627596209
0.0290000000,2.6417720448
0.0300000000,2.8270566770
0.0310000000,3.0186119246
0.0320000000,3.2164360271
0.0330000000,3.4205270453
0.0340000000,3.6308828496
0.0350000000,3.8475011081
0.0360000000,4.0703792737
0.0370000000,4.2995145717
0.0380000000,4.5349039864
0.0390000000,4.7765442480
0.0400000000,5.0244318180
0.0410000000,5.2785628755
0.0420000000,5.5389333025
0.0430000000,5.8055386687
0.0440000000,6.0783742163
0.0450000000,6.3574348442
0.0460000000,6.6427150922
0.0470000000,6.9342091241
0.0480000000,7.2319107115
0.0490000000,7.5358132162
0.0500000000,7.8459095728
0.0510000000,8.1621922711
0.0520000000,8.4846533378
0.0530000000,8.8132843178
0.0540000000,9.1480762554
0.0550000000,9.4890196751
0.0560000000,9.8361045623
0.0570000000,10.1893203428
0.0580000000,10.5486558631
0.0590000000,10.9140993695
0.0600000000,11.2856384873
0.0610000000,11.6632601998
0.0620000000,12.0469508261
0.0630000000,12.4366960000
0.0640000000,12.8324806471
0.0650000000,13.2342889627
0.0660000000,13.6421043890
0.0670000000,14.0559095916
0.0680000000,14.4756864363
0.0690000000,14.9014159654
0.0700000000,15.3330783737
